id,fonte,mercado,idioma,senioridade,familia,modalidade,anos_experiencia_min,n_requisitos,req_ingles,req_comunicacao_geral,req_comunicacao_escrita,req_espanhol,req_trabalho_em_equipe,req_times_multidisciplinares,req_autonomia,req_ownership,req_proatividade,req_aprendizado_continuo,req_resolucao_problemas,req_mentoria,req_lideranca,req_adaptabilidade,req_atencao_detalhe,req_organizacao_tempo,req_metodologias_ageis,req_code_review,req_testes_automatizados,req_ci_cd,req_versionamento,req_cultura_devops,req_observabilidade,req_on_call,req_documentacao,req_seguranca,req_performance_escala,req_arquitetura,req_boas_praticas_codigo,req_cloud,req_containers,req_banco_dados,req_apis_integracao,req_microservicos,req_mensageria_eventos,req_infra_como_codigo,req_dados_ia,req_fundamentos_cs,req_anos_experiencia,req_experiencia_previa,req_graduacao,req_diploma_dispensavel,req_portfolio_open_source,req_fuso_horario,req_autorizacao_trabalho,req_disponibilidade_viagem,req_visao_produto,req_foco_cliente,req_impacto_negocio,req_stakeholders
programathor-a05134e64f,programathor,brasil,pt,senior,fullstack,remoto,,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
programathor-9866b06f53,programathor,brasil,pt,pleno,backend,remoto,,9,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
programathor-65f1b5fb15,programathor,brasil,pt,pleno,fullstack,remoto,3,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
programathor-0173bca4b1,programathor,brasil,en,nao_informado,dados_ml,remoto,5,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
programathor-5c25136dbc,programathor,brasil,pt,senior,fullstack,nao_informado,,11,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
programathor-c21b8819a2,programathor,brasil,pt,nao_informado,qa,nao_informado,,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
programathor-79cb243af4,programathor,brasil,pt,senior,mobile,remoto,,11,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
programathor-9eedb811e0,programathor,brasil,pt,pleno,fullstack,remoto,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
programathor-00a82bda86,programathor,brasil,pt,senior,backend,nao_informado,7,11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
programathor-3ce11b3130,programathor,brasil,pt,nao_informado,backend,remoto,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
programathor-fc427cf086,programathor,brasil,pt,nao_informado,mobile,remoto,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
programathor-cbc1f9b431,programathor,brasil,pt,senior,backend,nao_informado,4,20,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
programathor-2bce0cd02d,programathor,brasil,pt,senior,backend,nao_informado,,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
programathor-baf478dbd1,programathor,brasil,pt,senior,backend,nao_informado,,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
programathor-37d97d7207,programathor,brasil,pt,staff_plus,fullstack,remoto,,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
programathor-4adbabed15,programathor,brasil,pt,senior,backend,presencial,,12,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
programathor-ec4ca5419e,programathor,brasil,pt,senior,fullstack,remoto,,13,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
